Nsample	fc	zr	MNAR	model	pAUROC
5	2	0.6	0.1	ModT-bPCA	0.643449745012508
5	3	0.6	0.1	ModT-bPCA	0.774725498594003
5	5	0.6	0.1	ModT	0.901521642776207
5	10	0.6	0.1	ModT	0.971833293511775
5	1.2	0.6	0.2	ModT-bPCA	0.512338353688037
5	1.5	0.6	0.2	ModT-bPCA	0.559097741807055
5	1.8	0.6	0.2	ModT-bPCA	0.605863521683133
5	2	0.6	0.2	ModT-bPCA	0.637414727987734
5	3	0.6	0.2	ModT-bPCA	0.769631339523959
5	5	0.6	0.2	ModT	0.900511176720906
5	10	0.6	0.2	ModT	0.971160786021339
5	1.2	0.6	0.3	ModT-bPCA	0.511702315700296
5	1.5	0.6	0.3	ModT-bPCA	0.556842377120992
5	1.8	0.6	0.3	ModT-bPCA	0.601709220126659
5	2	0.6	0.3	ModT-bPCA	0.632644499859876
5	3	0.6	0.3	ModT	0.763447478672145
5	5	0.6	0.3	ModT	0.899179561737744
5	10	0.6	0.3	ModT	0.97082021726247
5	1.2	0.6	0.4	ModT-bPCA	0.51118195697816
5	1.5	0.6	0.4	ModT-bPCA	0.553052856032562
5	1.8	0.6	0.4	ModT-bPCA	0.594838953782913
5	2	0.6	0.4	ModT-bPCA	0.624090352658733
5	3	0.6	0.4	ModT	0.761134602805614
5	5	0.6	0.4	ModT	0.897697480023995
5	10	0.6	0.4	ModT	0.970212227012391
5	1.2	0.6	0.5	ModT-bPCA	0.51017575687344
5	1.5	0.6	0.5	ModT-bPCA	0.548701882710247
5	1.8	0.6	0.5	ModT-bPCA	0.587669658638295
5	2	0.6	0.5	ModT-bPCA	0.614468060383504
5	3	0.6	0.5	ModT	0.760075481546319
5	5	0.6	0.5	ModT	0.896434298507897
5	10	0.6	0.5	ModT	0.96947642882895
5	1.2	0.6	0.6	ModT-bPCA	0.508939427505215
5	1.5	0.6	0.6	ModT-bPCA	0.543789315513972
5	1.8	0.6	0.6	ModT-bPCA	0.577192083396016
5	2	0.6	0.6	ModT	0.606092196408769
5	3	0.6	0.6	ModT	0.756601628943812
5	5	0.6	0.6	ModT	0.89459371992112
5	10	0.6	0.6	ModT	0.968873353301011
5	1.2	0.6	0.7	ModT-bPCA	0.507494335563252
5	1.5	0.6	0.7	T-test	0.538847180096255
5	1.8	0.6	0.7	Wilcoxon-SampMin	0.574294174472789
5	2	0.6	0.7	ModT	0.605740215496641
5	3	0.6	0.7	ModT	0.752384205234709
5	5	0.6	0.7	ModT	0.890615731673568
5	10	0.6	0.7	ModT	0.967495141704867
5	1.2	0.6	0.8	ZIG_DM	0.507061847297979
5	1.5	0.6	0.8	Wilcoxon-SampMin	0.553764969031143
5	1.8	0.6	0.8	Wilcoxon-SampMin	0.603389281617805
5	2	0.6	0.8	Wilcoxon-SampMin	0.632162353498944
5	3	0.6	0.8	ModT-SampMin	0.746975677473425
5	5	0.6	0.8	ModT	0.884642444209675
5	10	0.6	0.8	ModT	0.96503109022344
5	1.2	0.6	0.9	ZIG_DM	0.508092443215386
5	1.5	0.6	0.9	Wilcoxon-SampMin	0.575216633308013
5	1.8	0.6	0.9	Wilcoxon-SampMin	0.643342927610862
5	2	0.6	0.9	Wilcoxon-SampMin	0.682012978912311
5	3	0.6	0.9	ModT-SampMin	0.81367087132079
5	5	0.6	0.9	ModT-SampMin	0.907286106689519
5	10	0.6	0.9	ModT	0.96037469365454
5	1.2	0.6	1	ModT-SampMin	0.517268584967772
5	1.5	0.6	1	ModT-SampMin	0.617601832773573
5	1.8	0.6	1	ModT-SampMin	0.731960221168597
5	2	0.6	1	ModT-SampMin	0.793514567969356
5	3	0.6	1	ModT-SampMin	0.936410283771726
5	5	0.6	1	ModT-SampMin	0.986316160747988
5	10	0.6	1	ModT-SampMin	0.997616571167501
5	1.2	0.7	0	ModT-bPCA	0.511795336957894
5	1.5	0.7	0	ModT-bPCA	0.544912253332227
5	1.8	0.7	0	ModT-bPCA	0.582692312374694
5	2	0.7	0	ModT-bPCA	0.609575929548277
5	3	0.7	0	ModT-bPCA	0.732756348861877
5	5	0.7	0	ModT	0.870037646609512
5	10	0.7	0	ModT	0.961435216897789
5	1.2	0.7	0.1	ModT-bPCA	0.511598206676426
5	1.5	0.7	0.1	ModT-bPCA	0.544592066360556
5	1.8	0.7	0.1	ModT-bPCA	0.580373371426198
5	2	0.7	0.1	ModT-bPCA	0.606120116184794
5	3	0.7	0.1	ModT-bPCA	0.725545376077396
5	5	0.7	0.1	ModT	0.868179158074764
5	10	0.7	0.1	ModT	0.960142164801454
5	1.2	0.7	0.2	ModT-bPCA	0.51141959555082
5	1.5	0.7	0.2	ModT-bPCA	0.543011183722122
5	1.8	0.7	0.2	ModT-bPCA	0.577245881704146
5	2	0.7	0.2	ModT-bPCA	0.601646475954257
5	3	0.7	0.2	ModT-bPCA	0.717814885227346
5	5	0.7	0.2	ModT	0.867517230788334
5	10	0.7	0.2	ModT	0.958959988488196
5	1.2	0.7	0.3	ModT-bPCA	0.511266668587023
5	1.5	0.7	0.3	ModT-bPCA	0.541074325344025
5	1.8	0.7	0.3	ModT-bPCA	0.573334648065931
5	2	0.7	0.3	ModT-bPCA	0.595754133525089
5	3	0.7	0.3	ModT	0.715586873895935
5	5	0.7	0.3	ModT	0.864726040601769
5	10	0.7	0.3	ModT	0.957885126218303
5	1.2	0.7	0.4	ModT-bPCA	0.510873627598078
5	1.5	0.7	0.4	ModT-bPCA	0.53899283256001
5	1.8	0.7	0.4	ModT-bPCA	0.568493130641824
5	2	0.7	0.4	ModT-bPCA	0.589984220404751
5	3	0.7	0.4	ModT	0.715455299800121
5	5	0.7	0.4	ModT	0.863430704359136
5	10	0.7	0.4	ModT	0.955703429227076
5	1.2	0.7	0.5	ModT-bPCA	0.51025771649674
5	1.5	0.7	0.5	ModT-bPCA	0.53677783739708
5	1.8	0.7	0.5	ModT-bPCA	0.562124237803762
5	2	0.7	0.5	ModT-bPCA	0.581234949452491
5	3	0.7	0.5	ModT	0.712839491388515
5	5	0.7	0.5	ModT	0.861134615438832
5	10	0.7	0.5	ModT	0.954346497828894
5	1.2	0.7	0.6	ModT-bPCA	0.509040855935467
5	1.5	0.7	0.6	ModT-bPCA	0.5323020810052
5	1.8	0.7	0.6	ModT-bPCA	0.555022667064757
5	2	0.7	0.6	ModT	0.578551158378338
5	3	0.7	0.6	ModT	0.711670459129945
5	5	0.7	0.6	ModT	0.858529317314072
5	10	0.7	0.6	ModT	0.952485597717483
5	1.2	0.7	0.7	ModT-bPCA	0.508159351952378
5	1.5	0.7	0.7	ZILN_DM	0.532023299587676
5	1.8	0.7	0.7	ZILN_DM	0.564859991775675
5	2	0.7	0.7	ZILN_DM	0.587365689773741
5	3	0.7	0.7	ModT	0.707934326504066
5	5	0.7	0.7	ModT	0.853282044052074
5	10	0.7	0.7	ModT	0.948761883767712
5	1.2	0.7	0.8	twoT	0.506219581015754
5	1.5	0.7	0.8	ZILN_DM	0.539933918295937
5	1.8	0.7	0.8	ModT-SampMin	0.585041907959819
5	2	0.7	0.8	ModT-SampMin	0.616089372323185
5	3	0.7	0.8	ModT-SampMin	0.740968156912356
5	5	0.7	0.8	ModT-SampMin	0.853733393781907
5	10	0.7	0.8	ModT	0.94292845991096
5	1.2	0.7	0.9	ZIG_DM	0.507201655441688
5	1.5	0.7	0.9	Wilcoxon-SampMin	0.558477457095398
5	1.8	0.7	0.9	Wilcoxon-SampMin	0.616904904252376
5	2	0.7	0.9	ModT-SampMin	0.660428538495345
5	3	0.7	0.9	ModT-SampMin	0.814553431922363
5	5	0.7	0.9	ModT-SampMin	0.917539387087627
5	10	0.7	0.9	ModT-SampMin	0.955701297772534
5	1.2	0.7	1	ModT-SampMin	0.51087763012238
5	1.5	0.7	1	ModT-SampMin	0.602446158220664
5	1.8	0.7	1	ModT-SampMin	0.707180499093511
5	2	0.7	1	ModT-SampMin	0.762051920028408
5	3	0.7	1	ModT-SampMin	0.908458452706785
5	5	0.7	1	ModT-SampMin	0.976234219381426
5	10	0.7	1	ModT-SampMin	0.995728235450257
5	1.2	0.8	0	ModT-bPCA	0.509977484520552
5	1.5	0.8	0	ModT-bPCA	0.531802344601504
5	1.8	0.8	0	ModT-bPCA	0.560834538355903
5	2	0.8	0	ModT-bPCA	0.583410754029913
5	3	0.8	0	ModT-bPCA	0.693554103259658
5	5	0.8	0	ModT-bPCA	0.837976576372059
5	10	0.8	0	ModT	0.949074898258086
5	1.2	0.8	0.1	ModT-bPCA	0.510080423305796
5	1.5	0.8	0.1	ModT-bPCA	0.531805311787963
5	1.8	0.8	0.1	ModT-bPCA	0.560674254873048
5	2	0.8	0.1	ModT-bPCA	0.582136403502674
5	3	0.8	0.1	ModT-bPCA	0.692453477088203
5	5	0.8	0.1	ModT-bPCA	0.840963204391466
5	10	0.8	0.1	ModT	0.95011512368615
5	1.2	0.8	0.2	ModT-bPCA	0.509987971358129
5	1.5	0.8	0.2	ModT-bPCA	0.532344589505625
5	1.8	0.8	0.2	ModT-bPCA	0.559110721813597
5	2	0.8	0.2	ModT-bPCA	0.581255020798272
5	3	0.8	0.2	ModT-bPCA	0.693465209599115
5	5	0.8	0.2	ModT-bPCA	0.842506028744718
